1 1/2 mi.n. may, ks;33.4259725 -111.8786433
10 m.n. of gilr, ca;37.005789 -121.56671
10 nm e. of ken, id;43.488293 -116.473393
10 nm w lee vin, ca;36.956995 -120.066832
11mi.sw of silv, nv;39.25021 -116.75119
11nm east of si, ak;64.00028 -150.00028
12 n.e. burbank, ca;37.271954 -121.820181
120 nm sse of m, fl;30.983668 -85.631604
12nm east of an, ca;36.971649 -122.003538
13 se of linden, ca;38.017322 -121.039852
1/4nm s. of peo, or;44.00013 -120.50139
23 mi ene toutl, wa;47.147922 -119.303807
28 mi ene ogden, ut;40.712312 -112.08052
2nm e. of blyn, wa;48.998101 -122.751371
3 1/2 nm ene di, ok;36.401485 -97.870486
3 north brooksh, tx;31.25044 -99.25061
37 nm nw. of re, ca;37.25022 -119.75126
3m se of benton, mo;37.025936 -89.538588
3nm east of mar, ut;40.687066 -111.882797
3nm se scappoos, or;45.750445 -122.872588
40 se bettles, ak;66.918889 -151.516111
40 w of clear, ak;64.296151 -149.149549
4nm w of boring, or;45.229459 -122.7541
5 nm e. of kent, wa;47.340522 -122.295962
500 nm e, honolulu, hi;21.356622 -157.91812
5m e. greensbur, ks;37.6028 -99.29261
5n battle creek, ne;41.9981965 -97.6015121
60 e of bethel, ak;60.79222 -161.75583
8 miles se bris, ok;35.49209 -97.50328
8 s. of page, az;36.91472 -111.45583
9nm nw quitman, ga;30.888618 -83.574053
abbeville, la;29.9746502 -92.1342921
abbeville, sc;34.1779495 -82.3792463
abbot village, me;45.1864412 -69.4519933
aberdeen, ms;33.8251139 -88.5436553
aberdeen, sd;45.4649805 -98.487813
aberdeen, wa;46.975371 -123.815722
abilene, tx;32.4466741 -99.7333011
abingdon, va;36.7095788 -81.9774878
abita springs, la;30.4785257 -90.0375755
accokeek, md;38.6676168 -77.0283092
acme, pa;40.1267392 -79.4286473
acra, ny;42.3109186 -74.0554126
ada, oh;38.8398935 -83.5051704
ada, ok;34.7743383 -96.6783651
adams, ma;42.6242495 -73.117603
adamstown, md;39.3109134 -77.4752325
addison, tx;41.931696 -87.9889556
adel, ga;41.6175278 -94.0183875
adel, ia;41.6175278 -94.0183875
adelanto, ca;34.5827699 -117.409215
adeline, il;42.1433589 -89.4903897
admire, ks;39.9620418 -76.8705283
adrian, mi;41.8975152 -84.0373054
advance, nc;36.5157803 -118.9026011
afton, ok;36.6935507 -94.9633044
afton, va;37.972758 -78.82231
afton, wy;42.7249686 -110.9318384
agana, gu;13.4773442 144.7521907
agar, sd;44.8383153 -100.0745668
agoura, ca;34.1430352 -118.7381107
agua dulce, ca;34.4963817 -118.3256348
aialak bay, ak;64.00028 -150.00028
aiken, sc;33.5598586 -81.721952
